Día,Temperatura Media (°C),Temperatura Máxima (°C),Temperatura Mínima (°C),Probabilidad de Precipitación (%),Humedad (%)
1,15.2,18.5,12.1,40,75
2,14.8,17.9,11.3,35,72
3,16.1,19.3,13.0,45,80
4,14.0,17.2,11.0,50,78
5,13.5,16.8,10.2,30,74
6,15.0,18.3,12.5,60,82
7,16.2,19.7,13.4,70,85
8,14.9,18.1,11.4,65,80
9,15.3,18.7,12.2,55,77
10,13.8,17.0,10.5,40,73
11,14.3,17.5,11.0,30,70
12,13.7,16.9,10.3,25,68
13,15.5,19.0,12.0,20,65
14,14.6,17.8,11.2,35,72
15,16.0,19.4,12.8,60,76
16,15.1,18.6,11.9,50,79
17,14.4,17.7,11.1,45,74
18,16.3,19.8,13.2,65,80
19,15.0,18.4,11.8,55,77
20,13.9,17.1,10.6,30,70
21,14.7,17.9,11.5,40,75
22,16.0,19.2,12.6,60,78
23,14.2,17.3,11.0,55,72
24,13.6,16.8,10.4,45,71
25,15.4,18.8,12.3,50,79
26,14.8,18.0,11.6,60,82
27,16.5,19.9,13.3,70,85
28,15.2,18.3,12.1,65,80
29,14.1,17.4,11.0,55,76
30,16.3,19.5,13.2,50,73
31,15.0,18.2,12.0,40,70
