Año,Población A,Población B,Población C,Población D,Población E
1975,12000,5000,15000,8000,11000
1976,12150,5100,15200,8100,11200
1977,12300,5200,15400,8200,11400
1978,12450,5300,15600,8300,11600
1979,12600,5400,15800,8400,11800
1980,12750,5500,16000,8500,12000
1981,12900,5600,16200,8600,12200
1982,13050,5700,16400,8700,12400
1983,13200,5800,16600,8800,12600
1984,13350,5900,16800,8900,12800
1985,13500,6000,17000,9000,13000
1986,13650,6100,17200,9100,13200
1987,13800,6200,17400,9200,13400
1988,13950,6300,17600,9300,13600
1989,14100,6400,17800,9400,13800
1990,14250,6500,18000,9500,14000
1991,14400,6600,18200,9600,14200
1992,14550,6700,18400,9700,14400
1993,14700,6800,18600,9800,14600
1994,14850,6900,18800,9900,14800
1995,15000,7000,19000,10000,15000
1996,15150,7100,19200,10100,15200
1997,15300,7200,19400,10200,15400
1998,15450,7300,19600,10300,15600
1999,15600,7400,19800,10400,15800
2000,15750,7500,20000,10500,16000
2001,15900,7600,20200,10600,16200
2002,16050,7700,20400,10700,16400
2003,16200,7800,20600,10800,16600
2004,16350,7900,20800,10900,16800
2005,16500,8000,21000,11000,17000
2006,16650,8100,21200,11100,17200
2007,16800,8200,21400,11200,17400
2008,16950,8300,21600,11300,17600
2009,17100,8400,21800,11400,17800
2010,17250,8500,22000,11500,18000
2011,17400,8600,22200,11600,18200
2012,17550,8700,22400,11700,18400
2013,17700,8800,22600,11800,18600
2014,17850,8900,22800,11900,18800
2015,18000,9000,23000,12000,19000
2016,18150,9100,23200,12100,19200
2017,18300,9200,23400,12200,19400
2018,18450,9300,23600,12300,19600
2019,18600,9400,23800,12400,19800
2020,18750,9500,24000,12500,20000
2021,18900,9600,24200,12600,20200
2022,19050,9700,24400,12700,20400
2023,19200,9800,24600,12800,20600
2024,19350,9900,24800,12900,20800
2025,19500,10000,25000,13000,21000
