Día,Matemáticas,Historia,Lengua,Ciencias,Inglés
1,2,0,1,3,0
2,1,3,0,2,1
3,0,1,1,0,2
4,2,2,1,1,1
5,0,0,2,1,0
6,1,3,0,2,0
7,2,1,3,1,2
8,1,0,2,1,1
9,3,2,1,1,2
10,1,1,1,2,0
11,2,0,1,3,1
12,0,2,3,1,0
13,1,1,2,0,1
14,0,3,1,2,0
15,2,2,0,1,2
16,1,0,3,2,1
17,0,1,2,1,0
18,1,2,1,0,3
19,2,1,1,3,1
20,1,3,2,0,1
21,0,2,3,2,2
22,3,1,1,2,0
23,2,0,1,1,3
24,1,1,3,2,0
25,0,3,2,1,1
26,2,2,0,3,0
27,1,1,2,2,1
28,3,2,1,0,2
29,1,0,3,2,0
30,2,1,2,1,3
31,0,2,1,3,1
32,1,3,2,1,2
33,2,0,1,0,1
34,3,2,1,2,0
35,1,1,2,3,2
36,2,0,3,1,1
37,0,1,1,2,3
38,2,3,2,1,0
39,1,2,3,0,1
40,0,1,1,3,2
41,1,3,0,2,0
42,2,2,1,1,1
43,1,0,2,3,2
44,3,1,1,2,0
45,0,2,3,1,1
46,1,3,2,0,2
47,2,1,1,3,1
48,1,2,3,1,0
49,2,0,1,2,3
50,0,1,2,3,0
